Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
G021363,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021364,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021366,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021367,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021368,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021369,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021370,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021371,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021374,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021375,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021376,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021377,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021378,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021379,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021380,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021381,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021382,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021383,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021384,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021385,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021386,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021387,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021388,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021389,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021390,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021391,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021392,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021393,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021394,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021395,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021396,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021397,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021398,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021399,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G021400,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091135Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
