"Generation","Allele","Count","Percentage"
"49","Allele_2",0,0.0
"49","Allele_3",1,6.666666666666667
"49","Allele_4",0,0.0
"49","Allele_5",1,6.666666666666667
"49","Allele_6",5,33.33333333333333
"49","Allele_7",0,0.0
"49","Allele_8",0,0.0
"49","Allele_9",2,13.333333333333334
"49","Allele_10",1,6.666666666666667
"49","Allele_11",0,0.0
"49","Allele_12",2,13.333333333333334
"49","Allele_13",2,13.333333333333334
"49","Allele_14",1,6.666666666666667
"49","Allele_15",0,0.0
"50","Allele_1",0,0.0
"50","Allele_2",0,0.0
"50","Allele_3",0,0.0
"50","Allele_4",0,0.0
"50","Allele_5",0,0.0
"50","Allele_6",3,14.285714285714285
"50","Allele_7",1,4.761904761904762
"50","Allele_8",0,0.0
"50","Allele_9",2,9.523809523809524
"50","Allele_10",3,14.285714285714285
"50","Allele_11",0,0.0
"50","Allele_12",0,0.0
"50","Allele_13",8,38.095238095238095
"50","Allele_14",4,19.047619047619047
"50","Allele_15",0,0.0
"51","Allele_1",0,0.0
"51","Allele_2",0,0.0
"51","Allele_3",2,8.695652173913043
"51","Allele_4",0,0.0
"51","Allele_5",1,4.3478260869565215
"51","Allele_6",8,34.78260869565217
"51","Allele_7",0,0.0
"51","Allele_8",0,0.0
"51","Allele_9",3,13.043478260869565
"51","Allele_10",1,4.3478260869565215
"51","Allele_11",0,0.0
"51","Allele_12",2,8.695652173913043
"51","Allele_13",5,21.73913043478261
"51","Allele_14",1,4.3478260869565215
"51","Allele_15",0,0.0
"52","Allele_1",0,0.0
"52","Allele_2",0,0.0
"52","Allele_3",3,7.3170731707317085
"52","Allele_4",0,0.0
"52","Allele_5",3,7.3170731707317085
"52","Allele_6",7,17.073170731707318
"52","Allele_7",0,0.0
"52","Allele_8",0,0.0
"52","Allele_9",3,7.3170731707317085
"52","Allele_10",10,24.390243902439025
"52","Allele_11",0,0.0
"52","Allele_12",3,7.3170731707317085
"52","Allele_13",6,14.634146341463417
"52","Allele_14",6,14.634146341463417
"52","Allele_15",0,0.0
"53","Allele_1",0,0.0
"53","Allele_2",0,0.0
"53","Allele_3",4,7.547169811320755
"53","Allele_4",0,0.0
"53","Allele_5",3,5.660377358490567
"53","Allele_6",14,26.41509433962264
"53","Allele_7",0,0.0
"53","Allele_8",0,0.0
"53","Allele_9",4,7.547169811320755
"53","Allele_10",9,16.9811320754717
"53","Allele_11",1,1.8867924528301887
"53","Allele_12",4,7.547169811320755
"53","Allele_13",12,22.641509433962266
"53","Allele_14",2,3.7735849056603774
"53","Allele_15",0,0.0
"54","Allele_1",0,0.0
"54","Allele_2",0,0.0
"54","Allele_3",3,5.357142857142857
"54","Allele_4",0,0.0
"54","Allele_5",6,10.714285714285714
"54","Allele_6",15,26.785714285714285
"54","Allele_7",0,0.0
"54","Allele_8",0,0.0
"54","Allele_9",6,10.714285714285714
"54","Allele_10",9,16.07142857142857
"54","Allele_11",1,1.7857142857142856
"54","Allele_12",1,1.7857142857142856
"54","Allele_13",10,17.857142857142854
"54","Allele_14",5,8.928571428571427
"54","Allele_15",0,0.0
"55","Allele_1",0,0.0
"55","Allele_2",0,0.0
"55","Allele_3",3,4.918032786885246
"55","Allele_4",0,0.0
"55","Allele_5",3,4.918032786885246
"55","Allele_6",27,44.26229508196722
"55","Allele_7",0,0.0
"55","Allele_8",0,0.0
"55","Allele_9",2,3.278688524590164
"55","Allele_10",3,4.918032786885246
"55","Allele_11",2,3.278688524590164
"55","Allele_12",1,1.639344262295082
"55","Allele_13",12,19.672131147540984
"55","Allele_14",7,11.475409836065573
